id;device;profile;timestamp_utc;Angle1;Angle2;Amplitude;Direction;
23389517;2650;9;2020-08-26 05:30:57.57;;;0;4;
23389512;2650;9;2020-08-26 05:30:53.53;0;0;;;
23389387;2645;9;2020-08-26 05:28:28.28;;;0;4;
23389384;2649;9;2020-08-26 05:28:22.22;0;0;;;
23389363;2646;9;2020-08-26 05:28:02.02;;;0;4;
23389360;2646;9;2020-08-26 05:27:57.57;0;0;;;
23389327;2649;9;2020-08-26 05:27:16.16;0;0;;;
23389323;2644;9;2020-08-26 05:27:09.09;;;0;2;
23389317;2644;9;2020-08-26 05:27:03.03;1,5;-14;;;
23389058;2649;9;2020-08-26 05:21:13.13;;;0;4;
23389055;2649;9;2020-08-26 05:21:06.06;0;0;;;
23388731;2643;9;2020-08-26 05:14:17.17;;;0;4;
23388722;2643;9;2020-08-26 05:14:11.11;0;0;;;
23388630;2647;9;2020-08-26 05:12:01.01;;;0;1;
23388625;2647;9;2020-08-26 05:11:57.57;0;0;;;
23388375;2648;9;2020-08-26 05:06:46.46;;;0;2;
23388364;2648;9;2020-08-26 05:06:39.39;0;0;;;
23388328;2642;9;2020-08-26 05:05:57.57;;;0;2;
23388325;2642;9;2020-08-26 05:05:55.55;0;0;;;
23388304;2651;9;2020-08-26 05:05:26.26;;;0;1;
23388301;2651;9;2020-08-26 05:05:24.24;-7;0;;;
23388100;2650;9;2020-08-26 05:00:52.52;;;0;1;
23388089;2650;9;2020-08-26 05:00:45.45;0;0;;;
23388020;2646;9;2020-08-26 04:59:21.21;;;0;1;
23388011;2646;9;2020-08-26 04:59:15.15;0;0;;;
23387977;2645;9;2020-08-26 04:58:21.21;;;0;1;
23387888;2644;9;2020-08-26 04:56:44.44;;;0;4;
23387883;2644;9;2020-08-26 04:56:40.40;1,5;-14;;;
23387809;2648;9;2020-08-26 04:55:17.17;;;0;4;
23387751;2648;9;2020-08-26 04:53:59.59;;;0;4;
23387711;2648;9;2020-08-26 04:53:04.04;0;0;;;
23387632;2649;9;2020-08-26 04:51:13.13;;;0,5;4;
23387627;2649;9;2020-08-26 04:51:09.09;0;0;;;
23387270;2643;9;2020-08-26 04:43:40.40;;;0;4;
23387269;2643;9;2020-08-26 04:43:39.39;0;0;;;
23387200;2647;9;2020-08-26 04:42:04.04;;;0;4;
23387195;2647;9;2020-08-26 04:42:00.00;0;0;;;
23386945;2642;9;2020-08-26 04:36:46.46;;;0;4;
23386941;2642;9;2020-08-26 04:36:43.43;0;0;;;
23386929;2648;9;2020-08-26 04:36:28.28;;;0;1;
23386924;2648;9;2020-08-26 04:36:22.22;0;0;;;
23386870;2651;9;2020-08-26 04:35:10.10;;;0;4;
23386869;2651;9;2020-08-26 04:35:08.08;-7;0;;;
23386673;2650;9;2020-08-26 04:30:44.44;;;0;4;
23386669;2650;9;2020-08-26 04:30:38.38;0;0;;;
23386665;2646;9;2020-08-26 04:30:35.35;;;0;4;
23386662;2646;9;2020-08-26 04:30:32.32;0;0;;;
23386628;2649;9;2020-08-26 04:29:49.49;;;0,5;4;
23386472;2649;9;2020-08-26 04:26:48.48;0;0;;;
23386446;2644;9;2020-08-26 04:26:21.21;;;0;1;
23386443;2644;9;2020-08-26 04:26:19.19;1,5;-14;;;
23386210;2649;9;2020-08-26 04:21:16.16;;;0;4;
23386208;2649;9;2020-08-26 04:21:12.12;0;0;;;
23385833;2643;9;2020-08-26 04:13:05.05;;;0;4;
23385828;2643;9;2020-08-26 04:12:59.59;0;0;;;
23385789;2647;9;2020-08-26 04:12:09.09;;;0;4;
23385785;2647;9;2020-08-26 04:12:03.03;0;0;;;
23385574;2642;9;2020-08-26 04:07:39.39;;;0,5;4;
23385569;2642;9;2020-08-26 04:07:31.31;0;0;;;
23385498;2648;9;2020-08-26 04:06:10.10;;;0;1;
23385495;2648;9;2020-08-26 04:06:06.06;0;0;;;
23385445;2651;9;2020-08-26 04:04:55.55;;;0;1;
23385443;2651;9;2020-08-26 04:04:52.52;-7;0;;;
23385400;2648;9;2020-08-26 04:03:50.50;0;0;;;
23385351;2648;9;2020-08-26 04:02:49.49;0;0;;;
23385301;2646;9;2020-08-26 04:01:51.51;;;0;1;
23385298;2646;9;2020-08-26 04:01:50.50;0;0;;;
23385248;2650;9;2020-08-26 04:00:35.35;;;0;4;
23385244;2650;9;2020-08-26 04:00:31.31;0;0;;;
23385025;2644;9;2020-08-26 03:56:00.00;;;0;4;
23385022;2644;9;2020-08-26 03:55:59.59;1,5;-14;;;
23384821;2649;9;2020-08-26 03:51:22.22;;;0;4;
23384815;2649;9;2020-08-26 03:51:15.15;0;0;;;
23384517;2649;9;2020-08-26 03:44:51.51;;;0;2;
23384484;2649;9;2020-08-26 03:44:02.02;0;0;;;
23384407;2643;9;2020-08-26 03:42:29.29;;;0;4;
23384400;2643;9;2020-08-26 03:42:24.24;0;0;;;
23384387;2647;9;2020-08-26 03:42:10.10;;;0,5;2;
23384382;2647;9;2020-08-26 03:42:06.06;0;0;;;
23384213;2642;9;2020-08-26 03:38:29.29;;;0,5;4;
23384074;2648;9;2020-08-26 03:35:50.50;;;0;4;
23384073;2648;9;2020-08-26 03:35:47.47;0;0;;;
23384015;2651;9;2020-08-26 03:34:41.41;;;2,5;4;
23384008;2651;9;2020-08-26 03:34:35.35;-7;0;;;
23383954;2646;9;2020-08-26 03:33:09.09;;;0,5;4;
23383951;2646;9;2020-08-26 03:33:06.06;0;0;;;
23383832;2650;9;2020-08-26 03:30:27.27;;;0,5;1;
23383831;2650;9;2020-08-26 03:30:26.26;0;0;;;
23383764;2646;9;2020-08-26 03:28:52.52;;;0;2;
23383728;2648;9;2020-08-26 03:28:12.12;;;0;4;
23383713;2645;9;2020-08-26 03:27:51.51;;;1;1;
23383702;2648;9;2020-08-26 03:27:34.34;0;0;;;
23383601;2644;9;2020-08-26 03:25:38.38;;;0;4;
23383597;2644;9;2020-08-26 03:25:32.32;1,5;-14;;;
23383424;2649;9;2020-08-26 03:21:25.25;;;0,5;4;
23383421;2649;9;2020-08-26 03:21:18.18;0;0;;;
23383244;2649;9;2020-08-26 03:18:09.09;;;0;2;
23383203;2649;9;2020-08-26 03:17:20.20;0;0;;;
23382971;2647;9;2020-08-26 03:12:16.16;;;0;4;
23382967;2647;9;2020-08-26 03:12:09.09;0;0;;;
23382954;2643;9;2020-08-26 03:11:55.55;;;0;2;
23382949;2643;9;2020-08-26 03:11:48.48;0;0;;;
23382816;2642;9;2020-08-26 03:09:18.18;;;0;4;
23382811;2642;9;2020-08-26 03:09:13.13;0;0;;;
23382629;2648;9;2020-08-26 03:05:32.32;;;0;1;
23382624;2648;9;2020-08-26 03:05:28.28;0;0;;;
23382615;2648;9;2020-08-26 03:05:19.19;;;0;4;
23382571;2648;9;2020-08-26 03:04:31.31;0;0;;;
23382568;2651;9;2020-08-26 03:04:26.26;;;0;2;
23382567;2646;9;2020-08-26 03:04:25.25;;;0;4;
23382562;2646;9;2020-08-26 03:04:22.22;0;0;;;
23382561;2651;9;2020-08-26 03:04:21.21;-7;0;;;
23382515;2648;9;2020-08-26 03:03:12.12;0;0;;;
23382459;2648;9;2020-08-26 03:02:06.06;0;0;;;
23382384;2650;9;2020-08-26 03:00:21.21;;;0;4;
23382380;2650;9;2020-08-26 03:00:17.17;0;0;;;
23382143;2644;9;2020-08-26 02:55:09.09;1,5;-14;;;
23381981;2649;9;2020-08-26 02:51:25.25;;;0;2;
23381978;2649;9;2020-08-26 02:51:23.23;0;0;;;
23381804;2649;9;2020-08-26 02:46:57.57;;;0;4;
23381760;2649;9;2020-08-26 02:46:14.14;0;0;;;
23381686;2649;9;2020-08-26 02:44:30.30;0;0;;;
23381587;2647;9;2020-08-26 02:42:18.18;;;0;4;
23381582;2647;9;2020-08-26 02:42:12.12;0;0;;;
23381537;2643;9;2020-08-26 02:41:16.16;;;0;2;
23381532;2643;9;2020-08-26 02:41:13.13;0;0;;;
23381478;2642;9;2020-08-26 02:40:03.03;;;0;2;
23381476;2642;9;2020-08-26 02:40:02.02;0;0;;;
23381269;2646;9;2020-08-26 02:35:43.43;;;0;2;
23381264;2646;9;2020-08-26 02:35:39.39;0;0;;;
23381244;2648;9;2020-08-26 02:35:21.21;;;0;4;
23381232;2648;9;2020-08-26 02:35:10.10;0;0;;;
23381186;2651;9;2020-08-26 02:34:09.09;;;0;4;
23381184;2651;9;2020-08-26 02:34:06.06;-7;0;;;
23381008;2650;9;2020-08-26 02:30:14.14;;;0;4;
23381002;2650;9;2020-08-26 02:30:10.10;0;0;;;
